🤠雷蒙影视直播,#genre#
CCTV1,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$雷蒙影视•IPV4『线路208』
CCTV1,http://139.196.151.191:2051/rtp/239.45.3.145:5140$雷蒙影视•IPV4『线路209』
CCTV1,http://122.9.151.210:887/rtp/238.255.2.91:5999$雷蒙影视•IPV4『线路210』
CCTV1,http://1732e975z9.zicp.fun:8082/hls/1/index.m3u8$雷蒙影视•IPV4『线路211』
CCTV2,http://183.155.254.220:9999/rtp/233.50.201.119:5140$雷蒙影视•IPV4『线路1』
CCTV2,http://115.220.243.30:9999/rtp/233.50.201.119:5140$雷蒙影视•IPV4『线路2』
CCTV2,http://115.230.188.101:9999/rtp/233.50.201.119:5140$雷蒙影视•IPV4『线路3』
CCTV2,http:///rtp/239.69.1.102:10250$雷蒙影视•IPV4『线路4』
CCTV2,http://60.164.229.62:4040/udp/239.255.30.179:8231$雷蒙影视•IPV4『线路5』
CCTV2,http://s.cdhongyuan.cn:4022/udp/239.93.1.23:6000$雷蒙影视•IPV4『线路6』
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$雷蒙影视•IPV4『线路7』
CCTV2,http://113.100.72.190:8899/udp/239.77.1.158:5146$雷蒙影视•IPV4『线路8』
CCTV2,http://125.123.215.188:4022/rtp/233.50.201.119:5140$雷蒙影视•IPV4『线路9』
CCTV2,http://27.11.49.235:8005/udp/225.0.4.132:7980$雷蒙影视•IPV4『线路10』
CCTV2,http://111.196.191.248:5555/rtp/239.3.1.60:8084$雷蒙影视•IPV4『线路11』
CCTV2,http://117.86.49.165:7777/rtp/239.49.8.130:6000$雷蒙影视•IPV4『线路12』
CCTV2,http://123.145.24.146:8003/udp/225.0.4.132:7980$雷蒙影视•IPV4『线路13』
CCTV2,http://60.7.56.33:4000/rtp/239.253.92.190:6065$雷蒙影视•IPV4『线路14』
CCTV2,http://110.177.146.152:888/udp/239.1.1.8:8008$雷蒙影视•IPV4『线路15』
CCTV2,http://39.98.201.151:9090/udp/225.1.8.2:8084$雷蒙影视•IPV4『线路16』
CCTV2,http://218.15.214.115:10000/udp/239.77.1.158:5146$雷蒙影视•IPV4『线路17』
CCTV2,http://123.113.187.204:8000/rtp/239.3.1.60:8084$雷蒙影视•IPV4『线路18』
CCTV2,http://121.227.243.195:7766/rtp/239.49.8.130:6000$雷蒙影视•IPV4『线路19』
CCTV2,http://171.117.71.155:8084/rtp/226.0.2.154:9144$雷蒙影视•IPV4『线路20』
CCTV2,http://115.171.216.91:4000/udp/225.1.8.2:8084$雷蒙影视•IPV4『线路21』
CCTV2,http://106.42.108.91:2002/rtp/239.16.10.127:2000$雷蒙影视•IPV4『线路22』
CCTV2,http://111.199.2.123:8686/rtp/239.3.1.60:8084$雷蒙影视•IPV4『线路23』
CCTV2,http://27.11.57.219:8005/udp/225.0.4.132:7980$雷蒙影视•IPV4『线路24』
CCTV2,http://39.98.201.151:9090/udp/225.1.8.102:8004$雷蒙影视•IPV4『线路25』
CCTV2,http://121.237.247.75:8888/rtp/239.49.8.130:6000$雷蒙影视•IPV4『线路26』
CCTV2,http://113.251.226.86:8003/rtp/235.254.198.52:1484$雷蒙影视•IPV4『线路27』
CCTV2,http://home.yulei.online:9999/rtp/226.0.2.154:9144$雷蒙影视•IPV4『线路28』
CCTV2,http://1.203.77.72:7788/udp/225.1.8.102:8004$雷蒙影视•IPV4『线路29』
CCTV2,http://123.113.237.160:8888/rtp/239.3.1.60:8084$雷蒙影视•IPV4『线路30』
